Price,Close,High,Low,Open,Volume
Ticker,HES,HES,HES,HES,HES
Date,,,,,
2024-06-27,145.9477996826172,146.39295553482845,144.9487046394287,146.39295553482845,783800
2024-06-28,145.92800903320312,148.25263942423695,145.4828683280367,147.21398281022206,3361400
2024-07-01,146.5215301513672,147.91631749204896,145.0377176853111,146.6995954962368,914600
2024-07-02,147.31289672851562,147.80750087349216,145.91810941709286,147.80750087349216,2895600
2024-07-03,147.58987426757812,148.2625437556278,147.2931087609127,147.57008587536825,623000
2024-07-05,145.29493713378906,147.75805643213,144.6321693056267,147.75805643213,1035900
2024-07-08,145.04763793945312,146.16543320919808,144.3057316117439,144.4343184445433,1411700
2024-07-09,144.206787109375,145.5521110229971,142.99006510696094,143.54401934890163,1408900
2024-07-10,146.08628845214844,146.24456541785514,143.62316921012268,143.87047130874356,1107200
2024-07-11,146.14564514160156,147.659132689675,145.2652503254404,146.43250891791686,3162800
2024-07-12,146.77874755859375,147.41184033228015,145.69061227845037,147.00626126476104,1206800
2024-07-15,148.9846649169922,150.85426802846538,147.18429853862193,147.39203892617272,1593900
2024-07-16,148.90553283691406,149.44960045232673,147.3129067776815,148.31200178480537,983600
2024-07-17,152.74366760253906,153.0305313876146,149.85518098159838,150.03323124251662,1676300
2024-07-18,153.76255798339844,155.89925177600594,151.83360459873438,152.6744226924995,2236800
2024-07-19,150.9630889892578,154.48466834899918,149.8156036647672,154.14834112792764,1725600
2024-07-22,148.59889221191406,150.59709747560606,148.51975372587327,150.18163174448406,1311200
2024-07-23,145.1959991455078,148.2823243406068,145.1762107523255,148.2823243406068,1390900
2024-07-24,145.42352294921875,146.83809882474455,144.47389132813794,146.2445677409772,2702000
2024-07-25,148.23289489746094,148.62857224682477,144.96850393577753,145.54224665824145,1239200
2024-07-26,148.62855529785156,149.48916173634584,147.60967190001168,148.10427607737557,1169100
2024-07-29,147.15464782714844,149.32101681011397,145.27515775565587,149.13306478414,1142700
2024-07-30,150.0530242919922,150.67623041278617,147.2832377590573,147.2832377590573,1280300
2024-07-31,151.76434326171875,152.52603791765316,150.55750786706167,151.3488775659695,1302100
2024-08-01,139.7058868408203,148.13394595559964,139.31020955037366,147.14473763536193,6606900
2024-08-02,135.8282012939453,139.64654627406122,134.48287728296867,138.88485158921213,2986100
2024-08-05,131.01075744628906,133.28593969021026,130.67443022690745,133.09798768699062,2026200
2024-08-06,129.96218872070312,131.25804915308385,128.94330539932957,130.8524701354946,2493100
2024-08-07,129.6951141357422,133.0584166634866,129.66543909122439,131.93071968944315,1454600
